Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
8340	3	14	1	3
8350	2	2	1	2
8359	3	9	1	2
8361	3	30	1	2
8363	3	5	2	1
8367	3	4	1	2
8372	3	10	1	2
8373	3	12	1	2
8377	3	14	2	1
8394	3	14	1	3
8398	3	11	1	2
8399	3	11	1	3
8411	2	2	1	2
8415	3	10	2	1
8430	3	8	1	3
8444	3	3	1	3
8448	2	2	1	2
8455	3	13	1	2
8460	3	15	2	1
8461	2	2	1	2
8462	2	2	1	2
8463	3	18	1	2
8464	3	27	2	1
8471	3	18	2	1
8485	3	7	1	3
8498	1	1	2	1
8509	3	8	2	1
8510	3	14	1	2
8522	3	18	1	2
8529	3	5	1	2
8549	3	20	1	2
8552	3	13	2	1
8554	3	9	1	2
8556	3	7	1	2
8558	3	17	1	2
8560	3	22	2	1
8567	3	8	1	2
8573	3	12	1	2
8574	3	12	1	2
8577	3	11	1	2
8581	3	11	2	1
8596	3	19	2	1
8599	1	1	1	2
8604	2	2	2	1
8614	2	2	1	2
8616	3	13	1	2
8622	3	8	1	2
8623	2	2	1	2
8626	3	20	2	1
8627	3	4	2	1
8639	3	15	1	2
8645	3	22	2	1
8665	3	3	2	1
8668	3	12	1	2
8676	3	12	1	2
8699	3	7	1	2
8700	3	20	2	1
8702	3	26	1	2
8706	3	4	1	2
8738	3	11	1	2
8741	2	2	1	2
8772	3	19	1	2
8774	3	11	2	1
8777	3	19	1	2
8810	3	10	1	3
8820	3	9	1	2
8821	3	18	1	3
8836	3	12	1	3
8838	3	8	1	2
8842	3	6	1	3
8846	3	5	1	2
8861	2	2	1	2
8868	3	15	1	3
8880	3	20	2	1
8881	2	2	1	2
8889	1	1	2	1
8897	3	4	1	2
8927	2	2	2	1
8935	3	14	1	2
8938	3	18	1	2
8948	2	2	2	1
8959	3	8	2	1
8968	3	8	1	2
8970	3	19	2	1
9034	3	5	1	2
9043	3	13	1	2
9044	3	13	1	3
9065	3	13	1	2
9066	3	9	1	2
9074	3	8	1	3
9109	3	9	1	2
9110	3	14	1	2
9112	3	7	1	3
9129	3	18	1	2
9134	3	13	1	2
9150	3	8	1	3
9161	3	10	1	3
9166	3	12	1	2
9173	3	16	1	2
9185	3	6	1	2
9190	1	1	1	3
9223	3	11	1	2
9224	3	15	1	3
9234	2	2	1	2
9236	3	22	1	3
9237	3	20	1	2
9268	3	22	1	2
9269	3	5	1	3
9273	3	9	1	3
9278	3	32	1	2
9280	2	2	1	3
9302	3	8	1	3
9310	3	9	1	2
9315	1	1	1	2
9320	3	7	1	3
9328	3	9	1	2
9335	3	9	1	3
9340	3	18	1	2
9341	3	8	1	2
9345	3	18	1	2
9348	1	1	1	3
9351	3	10	1	3
9357	3	4	1	2
9384	3	10	1	3
9388	3	12	1	2
9397	3	7	1	2
9418	3	9	1	2
9420	3	6	1	2
9446	1	1	1	3
9447	3	17	1	2
9454	3	17	1	2
9460	2	2	1	2
9485	1	1	1	2
9487	3	9	1	2
9491	3	9	1	3
9500	3	28	1	3
9512	3	11	1	3
9516	3	8	1	3
9523	3	15	1	3
9534	1	1	1	3
9546	3	13	1	2
9555	3	6	1	2
9558	1	1	1	3
9560	2	2	1	2
9561	3	33	1	3
9577	3	6	1	2
9580	3	8	1	3
9584	3	10	1	2
9606	2	2	1	2
9608	2	2	1	2
9618	3	16	1	3
9621	3	8	1	3
9622	3	10	1	2
9627	3	5	1	3
9638	1	1	1	2
9639	3	6	1	3
9655	3	21	1	3
9670	1	1	1	2
9677	3	13	1	2
9684	3	12	1	2
9686	3	13	1	3
9711	3	11	1	2
9715	2	2	1	3
9720	3	9	1	2
9721	1	1	1	2
9724	3	12	1	2
9727	3	12	1	2
9742	3	18	1	2
9750	3	5	1	2
9751	2	2	1	2
9753	2	2	1	2
9758	1	1	1	2
9766	3	30	1	2
9770	3	3	1	2
9780	3	19	1	3
9783	3	18	2	1
9790	1	1	1	2
9820	3	16	1	2
9821	3	5	1	2
9822	3	8	1	2
9827	3	9	1	2
9832	1	1	1	2
9839	3	9	1	2
9840	1	1	1	2
9850	3	5	1	2
9859	3	12	2	1
9864	3	30	1	2
9869	3	10	1	2
9871	3	6	1	3
9880	3	9	1	2
9882	3	19	2	1
9884	3	23	1	2
9887	3	14	2	1
9890	3	10	2	1
9892	3	9	1	2
9896	2	2	1	2
9914	3	19	1	3
9931	2	2	1	3
9944	3	17	1	2
9957	3	19	2	1
9961	2	2	1	2
9966	1	1	1	2
9982	3	12	1	2
9987	2	2	1	3
9988	3	22	1	2
10001	3	24	1	2
10004	3	16	1	3
10006	3	13	1	3
10007	3	13	1	2
10009	3	15	1	3
10020	3	11	1	3
10024	3	7	1	3
10027	3	21	1	3
10031	3	21	1	2
10041	3	6	1	2
10042	3	29	1	2
10057	3	18	1	2
10071	3	16	1	3
10075	3	13	1	3
10093	3	19	1	3
10098	3	34	1	2
10101	3	22	1	3
10106	3	21	1	2
10117	2	2	1	3
10124	3	9	1	2
10160	3	8	2	1
10169	2	2	1	2
10177	3	23	1	3
10181	3	11	1	2
10200	3	10	1	2
10220	3	16	1	2
10222	3	28	2	1
10232	3	7	1	2
10239	1	1	1	2
10243	3	21	1	2
10248	3	22	1	2
10258	3	11	1	2
10274	2	2	2	1
10276	1	1	2	1
10292	3	6	2	1
10303	3	20	1	2
10309	3	17	2	1
10310	3	19	1	2
10311	1	1	2	1
10313	3	5	1	2
10323	2	2	1	2
10324	1	1	1	2
10330	3	21	1	2
10332	3	9	1	2
10346	2	2	1	2
10348	3	7	2	1
10349	3	11	2	1
10369	3	9	1	2
10378	3	23	1	3
10388	3	32	1	3
10392	3	26	1	3
10398	3	5	1	2
10414	3	20	2	1
10440	2	2	1	2
10451	3	7	1	3
10452	3	28	1	3
10458	3	13	1	2
10462	2	2	1	2
10466	3	13	1	2
10471	3	8	2	1
10483	3	18	1	2
10489	3	8	1	2
10495	3	16	1	2
10506	3	5	1	2
10508	3	9	1	2
10509	3	8	1	2
10510	2	2	1	2
10518	3	20	2	1
10520	3	10	1	2
10534	3	9	1	2
10542	3	7	1	2
10554	2	2	1	3
10563	3	7	2	1
10564	3	18	1	2
10571	3	19	2	1
10592	3	28	1	2
10632	3	4	2	1
10639	3	6	1	2
10641	3	27	1	2
10650	3	9	2	1
10652	3	12	2	1
10655	2	2	1	2
10658	1	1	1	2
10660	3	12	1	2
10667	3	11	1	2
10672	3	20	1	2
10676	3	6	1	3
10677	3	12	1	3
10691	3	16	1	2
10696	3	15	1	3
10697	3	16	1	2
10709	3	24	1	2
10717	1	1	1	2
10723	3	30	1	2
10726	3	28	1	2
10733	3	13	1	2
10740	3	15	1	2
10744	3	3	1	3
10774	3	19	1	2
10777	2	2	1	2
10778	3	9	1	2
10785	1	1	1	2
10791	3	6	1	3
10832	3	13	1	3
10844	3	20	1	2
10853	3	18	1	3
10856	3	14	1	2
10868	2	2	1	3
10892	3	7	1	3
10895	3	6	1	3
10896	3	14	1	3
10926	3	18	1	3
10953	3	11	1	3
10985	2	2	1	2
10987	3	12	1	2
